CPU;3072;3;117.438;0.080358838
NVIDIA;3072;3;1502.7889;0.00627978
FullNaive;3072;3;1145.6286;0.00823756
SepNaive;3072;3;1520.1846;0.00620792
SepShared;3072;3;1575.29;0.00599076
SharedUnroll;3072;3;1549.4722;0.00609058
SharedTile;3072;3;1430.1581;0.0065987
SharedTileC;3072;3;1452.934;0.00649526
CPU;3072;5;73.8593;0.127772441
NVIDIA;3072;5;1530.6488;0.00616548
FullNaive;3072;5;552.2619;0.01708824
SepNaive;3072;5;1026.0775;0.00919734
SepShared;3072;5;1534.9656;0.00614814
SharedUnroll;3072;5;1567.4146;0.00602086
SharedTile;3072;5;1398.0226;0.00675038
SharedTileC;3072;5;1426.5564;0.00661536
CPU;3072;7;53.3318;0.176952207
NVIDIA;3072;7;1527.1217;0.00617972
FullNaive;3072;7;352.9368;0.026739021
SepNaive;3072;7;1129.2901;0.00835674
SepShared;3072;7;1545.7465;0.00610526
SharedUnroll;3072;7;1547.7745;0.00609726
SharedTile;3072;7;1396.5579;0.00675746
SharedTileC;3072;7;1451.2314;0.00650288
CPU;3072;9;41.4492;0.227680918
NVIDIA;3072;9;1530.4303;0.00616636
FullNaive;3072;9;224.4905;0.042038242
SepNaive;3072;9;989.2704;0.00953954
SepShared;3072;9;1530.058;0.00616786
SharedUnroll;3072;9;1533.3696;0.00615454
SharedTile;3072;9;1397.3974;0.0067534
SharedTileC;3072;9;1438.3627;0.00656106
CPU;3072;11;33.9557;0.277925957
NVIDIA;3072;11;1502.5066;0.00628096
FullNaive;3072;11;153.1083;0.061637319
SepNaive;3072;11;873.7697;0.01080054
SepShared;3072;11;1448.7763;0.0065139
SharedUnroll;3072;11;1451.6824;0.00650086
SharedTile;3072;11;1396.1612;0.00675938
SharedTileC;3072;11;1428.543;0.00660616
CPU;3072;13;28.674;0.329120312
NVIDIA;3072;13;1497.6139;0.00630148
FullNaive;3072;13;114.0351;0.082756855
SepNaive;3072;13;775.4491;0.01216996
SepShared;3072;13;1425.0312;0.00662244
SharedUnroll;3072;13;1402.9817;0.00672652
SharedTile;3072;13;1371.0859;0.006883
SharedTileC;3072;13;1427.86;0.00660932
CPU;3072;15;25.0756;0.376348633
NVIDIA;3072;15;1497.728;0.006301
FullNaive;3072;15;87.2205;0.10819918
SepNaive;3072;15;708.5483;0.013319041
SepShared;3072;15;1341.2674;0.00703602
SharedUnroll;3072;15;1362.3847;0.00692696
SharedTile;3072;15;1359.6014;0.00694114
SharedTileC;3072;15;1421.7808;0.00663758
CPU;3072;17;21.99;0.429158672
NVIDIA;3072;17;1456.2117;0.00648064
FullNaive;3072;17;70.6647;0.133548838
SepNaive;3072;17;663.1436;0.01423098
SepShared;3072;17;1239.7805;0.00761198
SharedUnroll;3072;17;1240.4878;0.00760764
SharedTile;3072;17;1391.9233;0.00677996
SharedTileC;3072;17;1450.4062;0.00650658
CPU;128;17;19.6758;0.0008327
NVIDIA;128;17;877.0878;1.868E-05
FullNaive;128;17;72.1444;0.0002271
SepNaive;128;17;540.3694;3.032E-05
SepShared;128;17;572.8672;2.86E-05
SharedUnroll;128;17;855.1148;1.916E-05
SharedTile;128;17;991.7676;1.652E-05
SharedTileC;128;17;887.5406;1.846E-05
CPU;256;17;21.3444;0.0030704
NVIDIA;256;17;1424.0764;4.602E-05
FullNaive;256;17;77.1956;0.00084896
SepNaive;256;17;768.6606;8.526E-05
SepShared;256;17;1071.55;6.116E-05
SharedUnroll;256;17;1264.6854;5.182E-05
SharedTile;256;17;1580.7043;4.146E-05
SharedTileC;256;17;1350.7007;4.852E-05
CPU;512;17;22.0194;0.01190516
NVIDIA;512;17;1648.0825;0.00015906
FullNaive;512;17;73.5067;0.00356626
SepNaive;512;17;669.3152;0.00039166
SepShared;512;17;1222.3445;0.00021446
SharedUnroll;512;17;1279.1256;0.00020494
SharedTile;512;17;1506.9211;0.00017396
SharedTileC;512;17;1525.5121;0.00017184
CPU;1024;17;22.0775;0.047495142
NVIDIA;1024;17;1509.003;0.00069488
FullNaive;1024;17;69.4363;0.01510126
SepNaive;1024;17;679.1911;0.00154386
SepShared;1024;17;1235.3046;0.00084884
SharedUnroll;1024;17;1244.2461;0.00084274
SharedTile;1024;17;1442.2931;0.00072702
SharedTileC;1024;17;1454.9814;0.00072068
CPU;2048;17;21.9513;0.191072832
NVIDIA;2048;17;1489.095;0.00281668
FullNaive;2048;17;70.1318;0.05980606
SepNaive;2048;17;675.8597;0.00620588
SepShared;2048;17;1251.1869;0.00335226
SharedUnroll;2048;17;1259.9973;0.00332882
SharedTile;2048;17;1395.6543;0.00300526
SharedTileC;2048;17;1466.4989;0.00286008
CPU;3584;17;21.9771;0.58447543
NVIDIA;3584;17;1426.4169;0.00900512
FullNaive;3584;17;68.0713;0.18870002
SepNaive;3584;17;643.9122;0.019948459
SepShared;3584;17;1190.722;0.01078762
SharedUnroll;3584;17;1192.3623;0.01077278
SharedTile;3584;17;1329.4132;0.0096622
SharedTileC;3584;17;1413.6449;0.00908648
