ImageSize;Kernel;CPU;NVIDIA;FullNaive;SepNaive;SepShared;SharedUnroll;SharedTile;SharedTileC
128;17;0.00083;0.00002;0.00023;0.00003;0.00003;0.00002;0.00002;0.00002;
256;17;0.00307;0.00005;0.00085;0.00009;0.00006;0.00005;0.00004;0.00005;
512;17;0.01191;0.00016;0.00357;0.00039;0.00021;0.00020;0.00017;0.00017;
1024;17;0.04750;0.00069;0.01510;0.00154;0.00085;0.00084;0.00073;0.00072;
2048;17;0.19107;0.00282;0.05981;0.00621;0.00335;0.00333;0.00301;0.00286;
3072;3;0.08036;0.00628;0.00824;0.00621;0.00599;0.00609;0.00660;0.00650;
3072;5;0.12777;0.00617;0.01709;0.00920;0.00615;0.00602;0.00675;0.00662;
3072;7;0.17695;0.00618;0.02674;0.00836;0.00611;0.00610;0.00676;0.00650;
3072;9;0.22768;0.00617;0.04204;0.00954;0.00617;0.00615;0.00675;0.00656;
3072;11;0.27793;0.00628;0.06164;0.01080;0.00651;0.00650;0.00676;0.00661;
3072;13;0.32912;0.00630;0.08276;0.01217;0.00662;0.00673;0.00688;0.00661;
3072;15;0.37635;0.00630;0.10820;0.01332;0.00704;0.00693;0.00694;0.00664;
3072;17;0.42916;0.00648;0.13355;0.01423;0.00761;0.00761;0.00678;0.00651;
3584;17;0.58448;0.00901;0.18870;0.01995;0.01079;0.01077;0.00966;0.00909;
